Tier	Manufacturer	Model	Type	Form Factor	Dimensions	Interface	Price (MSRP)	Link
1 - Priority	SPRINTEK	SK8707-06	Trackpoint	Detached Trackpoint & Encoder	PS/2	???	https://www.sprintek.com/en/products/pointing_stick/SK8707-06.aspx
2 - Desired	PUSOKEI	???	Trackpoint	Trackpoinnt + Buttons & Encoder on Single Board	USB	€45,77	https://www.amazon.de/dp/B0BFFTDSK4
